所属区域,小区名称,房屋价格,房屋面积,户型
独栋·城家公寓 龙旗广场育新地铁站店 二居室、带落地窗直租 2室0厅,仅剩1间,4850 元/月,54.00㎡,/
整租·珠江四季悦城 4房间 南,通州-通州其它-珠江四季悦城,4800 元/月,90.00㎡,/
独栋·城家公寓 城家公寓北京总部基地海鹰路店 精装独卫、支持月付 开间,仅剩2间,3250-3500 元/月,18.60㎡,/
整租·和悦华锦 4室2厅 南/北,大兴-亦庄开发区其它-和悦华锦,10000 元/月,136.00㎡,/
独栋·城家公寓 龙旗广场育新地铁站店 近地铁 可短租月付 开间,仅剩4间,4850 元/月,44.00㎡,/
整租·首开国风美仑 3室1厅 南/北,通州-通州其它-首开国风美仑,4800 元/月,89.00㎡,/
独栋·冠寓 北京新国展店 长租免住30天 开间,仅剩3间,1873-2247 元/月,14.00-16.00㎡,/
整租·珠江四季悦城 4房间 南,通州-通州其它-珠江四季悦城,4800 元/月,90.00㎡,/
独栋·泰禾寓 义和庄店 短租两居室 2室1厅,仅剩2间,4656-5000 元/月,90.00㎡,/
整租·和悦华锦 4室2厅 南/北,大兴-亦庄开发区其它-和悦华锦,10000 元/月,136.00㎡,/
独栋·ZOME己美 北京西局地铁站店 精致套房 开间,仅剩2间,3180 元/月,25.00㎡,/
整租·IDCITY艾迪城 4房间 南,顺义-后沙峪-IDCITY艾迪城,9500 元/月,83.93㎡,/
独栋·ZOME己美 北京方庄地铁站店 精致大床房 开间,仅剩2间,2580-2880 元/月,20.00-22.00㎡,/
整租·北京像素北区 2房间 东南,朝阳-常营-北京像素北区,7500 元/月,50.00㎡,/
独栋·魔方公寓 北京普乐门青年路店 一口价！南向不靠街 1室1厅,仅剩3间,5200 元/月,45.00㎡,/
整租·风度柏林 1室0厅 北,朝阳-大望路-风度柏林,8200 元/月,52.00㎡,/
独栋·中海友里公寓 中海友里苏庄地铁站店 独卫一居（距地铁50M) 开间,仅剩3间,2000-2050 元/月,24.00-27.23㎡,/
整租·珠江逸景 2室1厅 东,通州-马驹桥-珠江逸景,4200 元/月,94.00㎡,/
整租·中海城紫鑫阁 2房间 南,精选,5960 元/月,朝阳-成寿寺-中海城紫鑫阁,/
整租·林肯公园B区 3房间 南,亦庄开发区-亦庄-林肯公园B区,9000 元/月,120.00㎡,/
整租·常楹公元自由派 1房间 东,朝阳-常营-常楹公元自由派,4500 元/月,37.29㎡,/
整租·天裕昕园西区 2室1厅 南/北,顺义-中央别墅区-天裕昕园西区,4500 元/月,80.00㎡,/
整租·西井小区二区 2室1厅 南,精选,5090 元/月,石景山-苹果园-西井小区二区,/
整租·金铸阳光苑 1室1厅 南,石景山-苹果园-金铸阳光苑,4900 元/月,60.00㎡,/
整租·双榆树东里 2室1厅 南,海淀-双榆树-双榆树东里,8800 元/月,63.40㎡,/
整租·蝶翠华庭 1室1厅 东北,西城-广安门-蝶翠华庭,7300 元/月,68.29㎡,/
整租·琥珀郡 2房间 北,精选,4030 元/月,昌平-西关环岛-琥珀郡,/
整租·龙博苑三区 3室1厅 南/北,昌平-回龙观-龙博苑三区,7300 元/月,87.00㎡,/
整租·保利茉莉公馆 2室1厅 南,精选,7030 元/月,大兴-高米店-保利茉莉公馆,/
整租·中东路121号院二区 2室1厅 南,昌平-西三旗-中东路121号院二区,5700 元/月,74.00㎡,/
整租·动物园宿舍 1室1厅 南,精选,6930 元/月,海淀-白石桥-动物园宿舍,/
整租·双河南里尚城北区 1室1厅 南,大兴-枣园-双河南里尚城北区,3500 元/月,50.68㎡,/
整租·东亚上北中心 2房间 北,精选,5090 元/月,昌平-回龙观-东亚上北中心,/
整租·世奥国际中心 2房间 东,朝阳-芍药居-世奥国际中心,12000 元/月,83.48㎡,/
整租·安慧里一区 2室1厅 南,精选,8330 元/月,朝阳-亚运村-安慧里一区,/
整租·蝶翠华庭 1室1厅 东北,西城-广安门-蝶翠华庭,7300 元/月,68.29㎡,/
整租·望坛新苑 1室1厅 南,精选,5990 元/月,东城-永定门-望坛新苑,/
整租·广外大街397号 1室1厅 南,西城-广安门-广外大街397号,5800 元/月,39.34㎡,/
整租·西坝河东里 2室1厅 南,精选,7890 元/月,朝阳-西坝河-西坝河东里,/
整租·首城国际B区 2室1厅 东南,朝阳-双井-首城国际B区,11300 元/月,83.00㎡,/
整租·枣营北里 1室1厅 西,精选,6330 元/月,朝阳-农展馆-枣营北里,/
整租·世奥国际中心 2房间 东,朝阳-芍药居-世奥国际中心,7000 元/月,69.64㎡,/
整租·CBD总部公寓三期 1室1厅 南,精选,6790 元/月,朝阳-双井-CBD总部公寓三期,/
整租·双河南里尚城北区 1室1厅 南,大兴-枣园-双河南里尚城北区,3500 元/月,50.68㎡,/
独栋·家乐美地 天地公寓（未来城店） 无中介费一二三四居均有 1室1厅,仅剩3间,3800-4000 元/月,45.00-75.00㎡,/
整租·中东路121号院二区 2室1厅 南,昌平-西三旗-中东路121号院二区,5700 元/月,74.00㎡,/
独栋·北京愿景公寓 真武庙店 简约舒适开间 开间,仅剩1间,6290 元/月,18.00㎡,/
整租·清枫华景园 1室1厅 东,海淀-学院路-清枫华景园,8600 元/月,85.11㎡,/
独栋·领寓 百子湾店 7号线百子湾 化工地铁口开间 可长短租月付 无服务费 1室1厅,仅剩4间,2680-3500 元/月,25.00-30.00㎡,/
整租·兴政西里 3室1厅 南/北,大兴-黄村中-兴政西里,4000 元/月,80.49㎡,/
整租·北街家园六区 1室0厅 西,昌平-沙河-北街家园六区,2800 元/月,29.43㎡,/
整租·保利紫荆香谷南区 3室1厅 南/北,昌平-昌平其它-保利紫荆香谷南区,6000 元/月,95.12㎡,/
整租·永丰里B区 2室1厅 南/北,精选,4000 元/月,通州-通州其它-永丰里B区,/
整租·清上园 2室1厅 南/北,海淀-安宁庄-清上园,6500 元/月,98.19㎡,/
整租·新悦家园 1室1厅 东,昌平-鼓楼大街-新悦家园,4000 元/月,64.00㎡,/
整租·甘露西园 3室1厅 西南,朝阳-十里堡-甘露西园,7500 元/月,93.83㎡,/
整租·方舟苑一期 3室1厅 南,精选,8600 元/月,朝阳-望京-方舟苑一期,/
整租·龙乡中区 3室1厅 南/北,昌平-西三旗-龙乡中区,7200 元/月,101.00㎡,/
整租·新光大中心 1室1厅 北,精选,5300 元/月,通州-北关-新光大中心,/
整租·新源街 3室1厅 东南/北,朝阳-亮马桥-新源街,8400 元/月,61.00㎡,/
整租·新光大中心 1室1厅 西北,精选,4800 元/月,通州-北关-新光大中心,/
整租·左家庄北里 2室1厅 东/西,朝阳-国展-左家庄北里,6825 元/月,57.00㎡,/
整租·万科大都会滨江N2 2室1厅 东南,精选,14000 元/月,通州-北关-万科大都会滨江N2,/
整租·北苑家园莲葩园 2室1厅 东/南/北,朝阳-北苑-北苑家园莲葩园,7875 元/月,112.00㎡,/
整租·朗芳园六区 1室1厅 南,精选,2999 元/月,通州-通州其它-朗芳园六区,/
整租·慧忠里 1室1厅 东南,朝阳-亚运村-慧忠里,6300 元/月,48.00㎡,/
整租·永丰里C区 1室1厅 南,精选,3699 元/月,通州-通州其它-永丰里C区,/
整租·左家庄北里 2室1厅 东/西,朝阳-国展-左家庄北里,6825 元/月,57.00㎡,/
整租·福兴雅苑 1室0厅 南,精选,3400 元/月,大兴-黄村火车站-福兴雅苑,/
整租·北苑家园莲葩园 2室1厅 东/南/北,朝阳-北苑-北苑家园莲葩园,7875 元/月,112.00㎡,/
整租·永丰里C区 2室1厅 南,精选,3900 元/月,通州-通州其它-永丰里C区,/
整租·金隅凤麟洲 2室2厅 南/北,朝阳-朝青-金隅凤麟洲,13900 元/月,102.00㎡,/
整租·紫运南里三区 2室1厅 南,精选,4400 元/月,通州-通州其它-紫运南里三区,/
整租·金融街长安中心 1房间 东,石景山-古城-金融街长安中心,4600 元/月,52.00㎡,/
整租·朗芳园六区 1室1厅 南,精选,2999 元/月,通州-通州其它-朗芳园六区,/
整租·紫金新园二区 1室1厅 东,门头沟-石门营-紫金新园二区,3000 元/月,45.84㎡,/
整租·康营家园四期A区 2室1厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·荣京丽都 3房间 东北,亦庄开发区-亦庄-荣京丽都,5300 元/月,45.00㎡,/
整租·图景嘉园 2室2厅 南/北,精选,6850 元/月,海淀-海淀北部新区-图景嘉园,/
整租·中国铁建原香漫谷二区 3室1厅 南/北,房山-城关-中国铁建原香漫谷二区,3000 元/月,89.00㎡,/
整租·通州万国城MOMA 3室1厅 南,通州-乔庄-通州万国城MOMA,8500 元/月,112.00㎡,/
整租·永定翠庭 2室2厅 东/西,海淀-五棵松-永定翠庭,18000 元/月,89.70㎡,/
整租·强佑清河新城府学上院 1室1厅 南,精选,5499 元/月,海淀-清河-强佑清河新城府学上院,/
整租·华腾国际 3室2厅 北,朝阳-大望路-华腾国际,18000 元/月,160.06㎡,/
整租·东亚三环 2房间 西,丰台-马家堡-东亚三环,5000 元/月,44.08㎡,/
整租·康家园 1室1厅 东,朝阳-甘露园-康家园,5300 元/月,50.00㎡,/
整租·北花园小区2号院 2室1厅 南,精选,6700 元/月,朝阳-双桥-北花园小区2号院,/
整租·凯盛家园 1室1厅 南,海淀-海淀北部新区-凯盛家园,5100 元/月,60.00㎡,/
整租·叠翠庭苑一区 2室1厅 南/北,精选,6700 元/月,石景山-苹果园-叠翠庭苑一区,/
整租·绿地环球文化金融城 4房间 南,石景山-石景山其它-绿地环球文化金融城,6500 元/月,116.00㎡,/
整租·旭辉26街区 1室1厅 北,精选,3500 元/月,顺义-顺义其它-旭辉26街区,/
整租·小关北里 1室1厅 东南,朝阳-惠新西街-小关北里,5400 元/月,5400.00㎡,/
整租·金隅自由筑 3房间 东,通州-临河里-金隅自由筑,2700 元/月,53.00㎡,/
整租·自由季 1房间 西,东城-广渠门-自由季,4500 元/月,45.16㎡,/
整租·MOHO国际写字楼 2房间 南,东城-东花市-MOHO国际写字楼,4000 元/月,22.12㎡,/
整租·天朗园 3室2厅 东南/北,朝阳-奥林匹克公园-天朗园,15300 元/月,164.00㎡,/
整租·西现代城 1室0厅 北,石景山-杨庄-西现代城,4200 元/月,39.00㎡,/
整租·芳馨园 2室1厅 东/南,朝阳-国展-芳馨园,12000 元/月,100.00㎡,/
整租·安慧北里安园 2室1厅 南/北,朝阳-亚运村-安慧北里安园,7980 元/月,78.20㎡,/
整租·红松园1号院 1室1厅 南,朝阳-东坝-红松园1号院,3700 元/月,32.00㎡,/
整租·首经贸中街1号院 1室1厅 南,丰台-玉泉营-首经贸中街1号院,5563 元/月,72.00㎡,/
整租·西山国际城 5房间 南/北,海淀-田村-西山国际城,9300 元/月,54.00㎡,/
整租·上奥世纪中心 1房间 东,昌平-西三旗-上奥世纪中心,4600 元/月,46.53㎡,/
整租·砖角楼南里 2室1厅 东/西,朝阳-和平里-砖角楼南里,6800 元/月,56.00㎡,/
整租·南十里居 2室1厅 南/北,朝阳-朝阳公园-南十里居,5900 元/月,59.00㎡,/
整租·阳光上东 3室2厅 南/北,朝阳-酒仙桥-阳光上东,29000 元/月,189.00㎡,/
整租·乐府江南 2室1厅 西北,海淀-田村-乐府江南,9000 元/月,82.00㎡,/
整租·临河悦园14号院 3室1厅 南/北,顺义-顺义其它-临河悦园14号院,3200 元/月,102.00㎡,/
整租·天居园 3室1厅 南,朝阳-奥林匹克公园-天居园,11000 元/月,138.80㎡,/
整租·柳浪家园南里 2室1厅 南,海淀-马连洼-柳浪家园南里,11000 元/月,89.00㎡,/
整租·万科天地 3房间 南,大兴-义和庄-万科天地,4000 元/月,57.00㎡,/
整租·明天第一城8号院 2房间 南,朝阳-立水桥-明天第一城8号院,5800 元/月,62.76㎡,/
整租·南海家园三里 1室1厅 东南,大兴-亦庄开发区其它-南海家园三里,3600 元/月,62.00㎡,/
整租·阜成路8号院 3室2厅 南/北,海淀-甘家口-阜成路8号院,27000 元/月,145.00㎡,/
整租·建材城东一里 1室1厅 南,海淀-西三旗-建材城东一里,4400 元/月,50.70㎡,/
整租·万明园 1室1厅 南,西城-月坛-万明园,6700 元/月,43.00㎡,/
整租·龙泽苑西区 3室2厅 南/北,昌平-回龙观-龙泽苑西区,9345 元/月,143.57㎡,/
整租·首邑上城 2房间 南,大兴-枣园-首邑上城,4030 元/月,61.00㎡,/
整租·悠乐汇 1房间 西南,朝阳-望京-悠乐汇,6720 元/月,50.00㎡,/
整租·新光大中心 3房间 东,通州-北关-新光大中心,8400 元/月,117.00㎡,/
整租·五和万科长阳天地9号院 2房间 东,房山-长阳-五和万科长阳天地9号院,3500 元/月,46.00㎡,/
整租·上地东里 1室0厅 南,海淀-上地-上地东里,5000 元/月,60.00㎡,/
整租·长河湾 1室0厅 北,海淀-西直门-长河湾,6130 元/月,48.00㎡,/
整租·三里河二区 2室1厅 南/北,西城-月坛-三里河二区,9500 元/月,60.00㎡,/
整租·观湖国际 2室2厅 东/西,朝阳-朝阳公园-观湖国际,18000 元/月,127.27㎡,/
整租·天通西苑一区 4室2厅 南/西/北,昌平-天通苑-天通西苑一区,9100 元/月,157.65㎡,/
整租·北京财富中心 3室2厅 西北,朝阳-东大桥-北京财富中心,24000 元/月,145.00㎡,/
整租·月坛北街 1室1厅 南,精选,7590 元/月,西城-月坛-月坛北街,/
整租·丰汇园小区 1室1厅 西,西城-金融街-丰汇园小区,9500 元/月,54.20㎡,/
整租·公园五号 5房间 南/北,朝阳-甜水园-公园五号,30000 元/月,189.00㎡,/
整租·空港雅苑1号院 2室1厅 南,大兴-大兴机场空港-空港雅苑1号院,1700 元/月,82.00㎡,/
整租·芳古园一区 2室1厅 南,精选,6430 元/月,丰台-方庄-芳古园一区,/
整租·石佛营东里小区 1室1厅 南,精选,5830 元/月,朝阳-石佛营-石佛营东里小区,/
整租·金成雅苑 3室1厅 南/北,顺义-后沙峪-金成雅苑,6800 元/月,89.00㎡,/
整租·鸿坤理想城礼域府 1室1厅 东南,大兴-西红门-鸿坤理想城礼域府,5000 元/月,68.85㎡,/
整租·首邑溪谷 3室1厅 复式 南/北,大兴-枣园-首邑溪谷,7000 元/月,118.38㎡,/
整租·月亮城堡 3室2厅 南/北,通州-武夷花园-月亮城堡,14000 元/月,225.59㎡,/
整租·宝星国际二期 1室1厅 南,精选,9090 元/月,朝阳-[望京]-宝星国际二期,/
整租·芍药居2号院 2室1厅 南,精选,8060 元/月,朝阳-芍药居-芍药居2号院,/
整租·王庄路27号院 2室1厅 南,精选,8990 元/月,海淀-五道口-王庄路27号院,/
整租·辉煌国际 1房间 东/南,海淀-上地-辉煌国际,6300 元/月,57.21㎡,/
整租·贡院九号 2室1厅 南/北,东城-建国门内-贡院九号,21000 元/月,163.43㎡,/
整租·双井北里 2室1厅 东,精选,7660 元/月,朝阳-双井-双井北里,/
整租·北京城建上悦居东区 2室1厅 南,精选,4390 元/月,门头沟-冯村-北京城建上悦居东区,/
整租·六场宿舍 2室1厅 南,精选,5560 元/月,石景山-鲁谷-六场宿舍,/
整租·首都机场南路西里 2室1厅 南,精选,4060 元/月,朝阳-首都机场-首都机场南路西里,/
整租·三山新新家园 2室1厅 南/北,顺义-后沙峪-三山新新家园,4200 元/月,89.00㎡,/
整租·首城国际中心 3房间 南,朝阳-双井-首城国际中心,10500 元/月,63.72㎡,/
整租·清河饮食服务楼 2室1厅 南/北,海淀-清河-清河饮食服务楼,5500 元/月,56.00㎡,/
整租·陶然湖景 3室2厅 南/北,西城-陶然亭-陶然湖景,45000 元/月,192.70㎡,/
整租·新城国际 4室1厅 南/北,朝阳-东大桥-新城国际,49000 元/月,264.00㎡,/
整租·中国铁建青秀尚城 2室1厅 南,昌平-南邵-中国铁建青秀尚城,5500 元/月,76.00㎡,/
整租·招商嘉铭珑原 5室2厅 复式 南/北,昌平-奥林匹克公园-招商嘉铭珑原,28000 元/月,320.51㎡,/
整租·科源小区 2室1厅 东/西/北,海淀-五道口-科源小区,8500 元/月,60.00㎡,/
整租·芍药居2号院 2室1厅 南,精选,7890 元/月,朝阳-芍药居-芍药居2号院,/
整租·宇飞大厦 3房间 南/北,东城-东直门-宇飞大厦,13000 元/月,124.20㎡,/
整租·察慈小区 2室1厅 南,东城-东直门-察慈小区,8500 元/月,64.56㎡,/
整租·民安小区东羊管胡同 2室1厅 南/北,东城-东直门-民安小区东羊管胡同,11800 元/月,75.00㎡,/
整租·民安小区东直门北中街 3室2厅 东/西,东城-东直门-民安小区东直门北中街,15500 元/月,111.07㎡,/
整租·东直门外大街(东城） 2室1厅 南,东城-东直门-东直门外大街(东城）,8500 元/月,80.01㎡,/
整租·青年湖北里 3室1厅 南/北,东城-安定门-青年湖北里,9500 元/月,82.22㎡,/
整租·朗家胡同13号院 2室1厅 东/西,东城-安定门-朗家胡同13号院,8000 元/月,54.50㎡,/
整租·巷上嘉园 2室1厅 西南,东城-安定门-巷上嘉园,10500 元/月,99.35㎡,/
整租·花园东巷 1室1厅 南/西,东城-安定门-花园东巷,3800 元/月,14.54㎡,/
整租·花家地南里 2室1厅 西南,精选,6760 元/月,朝阳-望京-花家地南里,/
整租·青年湖北里 2室1厅 东/西,东城-安定门-青年湖北里,7600 元/月,59.00㎡,/
整租·通州富力中心 3室1厅 东北,精选,5800 元/月,通州-武夷花园-通州富力中心,/
整租·和平街十三区 1室1厅 南,精选,6290 元/月,朝阳-和平里-和平街十三区,/
整租·安外东河沿 2室1厅 南/北,东城-安定门-安外东河沿,6900 元/月,60.00㎡,/
整租·安德路乙61号院 3室1厅 西南,东城-安定门-安德路乙61号院,12500 元/月,69.62㎡,/
整租·新外大街28号院 2室1厅 南/北,西城-德胜门-新外大街28号院,13500 元/月,82.00㎡,/
整租·冰窖口胡同73号院 2室1厅 南,西城-德胜门-冰窖口胡同73号院,6300 元/月,58.30㎡,/
整租·冰窖口胡同73号院 2室1厅 南/北,西城-德胜门-冰窖口胡同73号院,9500 元/月,62.00㎡,/
整租·通州富力中心 3室1厅 西南,精选,6180 元/月,通州-武夷花园-通州富力中心,/
整租·光泽胡同 2室1厅 南/北,西城-德胜门-光泽胡同,13000 元/月,58.10㎡,/
整租·融泽嘉园中路2号院 1室1厅 南,精选,7060 元/月,昌平-回龙观-融泽嘉园中路2号院,/
整租·观河锦苑 2室1厅 南/北,西城-德胜门-观河锦苑,18500 元/月,124.13㎡,/
整租·万科天地 3房间 复式 北,精选,4200 元/月,大兴-义和庄-万科天地,/
整租·观河锦苑 2室1厅 西,西城-德胜门-观河锦苑,14000 元/月,95.00㎡,/
整租·新外大街28号院 3室2厅 南/北,西城-德胜门-新外大街28号院,24000 元/月,156.30㎡,/
整租·观河锦苑 1室1厅 南,西城-德胜门-观河锦苑,6800 元/月,60.00㎡,/
整租·郭庄北里 1室1厅 南,精选,4890 元/月,东城-永定门-郭庄北里,/
整租·观河锦苑 1室1厅 西,西城-德胜门-观河锦苑,7500 元/月,60.00㎡,/
整租·金隅自由筑 2房间 东,精选,3560 元/月,通州-临河里-金隅自由筑,/
整租·新海苑 3室1厅 东/西,西城-德胜门-新海苑,18000 元/月,98.26㎡,/
整租·金茂北京国际社区 2室1厅 南/北,顺义-顺义其它-金茂北京国际社区,3100 元/月,71.16㎡,/
整租·旭辉26街区 2室1厅 东南,顺义-顺义其它-旭辉26街区,4200 元/月,31.33㎡,/
整租·绿地诺亚方舟 1室1厅 东,精选,3290 元/月,房山-良乡-绿地诺亚方舟,/
整租·太平桥大街6号 2室1厅 东/西,西城-金融街-太平桥大街6号,13000 元/月,61.80㎡,/
整租·新光大中心 2房间 北,精选,4788 元/月,通州-北关-新光大中心,/
整租·天润福熙大道 3室2厅 南/北,朝阳-北苑-天润福熙大道,19000 元/月,163.43㎡,/
整租·金铸阳光苑 2室1厅 南,精选,6630 元/月,石景山-苹果园-金铸阳光苑,/
整租·东亚首航国际 2房间 西,顺义-顺义其它-东亚首航国际,3300 元/月,52.96㎡,/
整租·京旺家园 1室1厅 南,精选,4400 元/月,朝阳-中央别墅区-京旺家园,/
整租·沿海赛洛城四期 2房间 东,精选,6000 元/月,朝阳-百子湾-沿海赛洛城四期,/
整租·新起点嘉园 1室1厅 北,海淀-万柳-新起点嘉园,7500 元/月,50.69㎡,/
整租·钢铁研究院 2室1厅 南,精选,8790 元/月,海淀-白石桥-钢铁研究院,/
整租·郦城三区 4室2厅 南/北,海淀-四季青-郦城三区,49000 元/月,307.00㎡,/
整租·康泉小区 2室1厅 东,精选,6390 元/月,朝阳-双桥-康泉小区,/
整租·双榆树北里 1室1厅 南,精选,8960 元/月,海淀-双榆树-双榆树北里,/
整租·育新花园 2室1厅 南/北,海淀-西三旗-育新花园,5900 元/月,59.00㎡,/
整租·新源街 2室1厅 南,朝阳-亮马桥-新源街,7500 元/月,50.20㎡,/
整租·中信锦园 2室1厅 东/西,西城-陶然亭-中信锦园,14800 元/月,97.00㎡,/
整租·北京城建·龙樾华府 4室2厅 南/北,昌平-沙河-北京城建·龙樾华府,16000 元/月,245.00㎡,/
整租·美然动力A3区 1室0厅 南,朝阳-定福庄-美然动力A3区,5000 元/月,50.00㎡,/
整租·清秀园北区 2室1厅 东/南/北,昌平-东关-清秀园北区,4000 元/月,91.29㎡,/
整租·人定湖西里 2室1厅 南/北,西城-六铺炕-人定湖西里,9000 元/月,58.60㎡,/
整租·天时名苑 2室1厅 南,精选,6930 元/月,通州-通州北苑-天时名苑,/
整租·安贞西里 1室1厅 南,精选,7690 元/月,朝阳-安贞-安贞西里,/
整租·朗芳园五区 2室1厅 南,精选,3800 元/月,通州-通州其它-朗芳园五区,/
